STATE_CODE,STATE_CODE_EXP,SHRP_ID,CONSTRUCTION_DATE,TRAFFIC_OPEN_DATE,YEAR_WIDENED,ORIGINAL_NO_LANES,FINAL_NO_LANES,LANE_ADDED_NO
1,Alabama,1021,06-01-1985,06-01-1985,,,,
1,Alabama,4125,06-01-1972,06-01-1972,,,,
1,Alabama,4126,04-01-1988,04-01-1988,,,,
5,Arkansas,3048,12-01-1981,12-01-1981,,,,
6,California,1253,07-01-1970,07-01-1970,,,,
6,California,2004,10-01-1976,10-01-1976,,,,
6,California,2647,09-01-1976,09-01-1976,,,,
6,California,8151,06-01-1973,06-01-1973,,,,
6,California,8201,06-01-1971,06-01-1971,,,,
12,Florida,1060,10-01-1979,10-01-1979,,,,
12,Florida,3995,12-01-1975,12-01-1975,,,,
12,Florida,3996,04-01-1974,06-01-1974,,,,
12,Florida,4097,11-01-1985,01-01-1986,,,,
12,Florida,4099,06-01-1976,06-01-1976,,,,
12,Florida,4103,06-01-1982,06-01-1982,,,,
12,Florida,4105,12-01-1984,12-01-1984,,,,
12,Florida,4107,10-01-1983,10-01-1983,,,,
12,Florida,4108,06-01-1986,06-01-1986,,,,
12,Florida,9054,10-01-1974,10-01-1974,,,,
13,Georgia,4111,11-01-1980,11-01-1980,,,,
15,Hawaii,1003,02-01-1984,02-01-1984,,,,
15,Hawaii,1006,07-01-1980,07-01-1980,,,,
15,Hawaii,1008,05-01-1984,05-01-1984,,,,
15,Hawaii,7080,03-01-1975,03-01-1975,,,,
16,Idaho,1021,10-01-1985,10-01-1985,,,,
17,Illinois,1003,10-01-1986,11-01-1986,,,,
18,Indiana,2009,01-01-1981,01-01-1981,,,,
23,Maine,1012,08-01-1985,09-01-1985,,,,
26,Michigan,1001,09-01-1971,09-01-1971,,,,
26,Michigan,1010,07-01-1975,08-01-1975,,,,
27,Minnesota,1029,01-01-1970,01-01-1970,,,,
28,Mississippi,1016,11-01-1986,11-01-1986,,,,
28,Mississippi,3082,09-01-1989,10-01-1989,,,,
28,Mississippi,3083,11-01-1978,11-01-1978,,,,
29,Missouri,1005,05-01-1974,05-01-1974,,,,
30,Montana,1001,08-01-1982,08-01-1982,,,,
34,New Jersey,1638,09-01-1985,11-01-1985,,,,
35,New Mexico,1022,10-01-1986,10-01-1986,,,,
35,New Mexico,1112,06-01-1984,06-01-1984,,,,
35,New Mexico,2006,07-01-1982,07-01-1982,,,,
37,North Carolina,1030,12-01-1984,12-01-1984,,,,
40,Oklahoma,1015,04-01-1978,04-01-1978,,,,
40,Oklahoma,1017,10-01-1981,10-01-1981,,,,
40,Oklahoma,4165,06-01-1984,06-01-1984,,,,
45,South Carolina,1008,05-01-1970,05-01-1970,,,,
47,Tennessee,3075,06-01-1971,06-01-1971,,,,
48,Texas,1049,06-01-1984,06-01-1984,,,,
48,Texas,1060,03-01-1986,03-01-1986,,,,
48,Texas,3559,06-01-1970,06-01-1970,,,,
48,Texas,3609,06-01-1974,06-01-1974,,,,
50,Vermont,1002,08-01-1984,11-01-1984,,,,
53,Washington,1501,07-01-1982,07-01-1982,,,,
56,Wyoming,2018,10-01-1983,10-01-1983,,,,
85,Newfoundland,1801,09-01-1984,09-01-1984,1984,1,2,1
85,Newfoundland,1808,09-01-1983,09-01-1983,,,,
